Campaign name,Day,Ad Group,Ad,utm_campaign,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Result value type,Results ROAS,Website purchase ROAS (return on advertising spend),Reporting starts,Reporting ends
50% Off Nov '25 (Catalogue Carousel),2025-11-17,"Ethical Consumerism Audience, UK","Basic Ad, 24 roll static image",,,ad,75,94,1.25,,,,2.71,,,,0,0,28.83,0,,,,45978,45978
Instagram post: 🌍 The planet called — it wants...,2025-11-17,Instagram post: 🌍 The planet called — it wants...,Instagram post: 🌍 The planet called — it wants...,,,ad,338,366,1.08,,,,1.9,,,,15,0.13,5.19,4.1,,,,45978,45978
50% Off Nov '25 (Catalogue Carousel),2025-11-17,"Carrousel, Lookalike Audiences",All Products - Sales,,,ad,193,253,1.31,,,,7.99,,,,1,7.99,31.58,0.4,,,,45978,45978
50% Off Nov '25 (Catalogue Carousel),2025-11-18,"Ethical Consumerism Audience, UK","Basic Ad, 24 roll static image",,,ad,41,49,1.2,,,,1.82,,,,1,1.82,37.14,2.04,,,,45979,45979
Instagram post: 🌍 The planet called — it wants...,2025-11-18,Instagram post: 🌍 The planet called — it wants...,Instagram post: 🌍 The planet called — it wants...,,,ad,155,159,1.03,,,,0.62,,,,4,0.16,3.9,2.52,,,,45979,45979
50% Off Nov '25 (Catalogue Carousel),2025-11-18,"Carrousel, Lookalike Audiences",All Products - Sales,,,ad,181,244,1.35,,,,9.93,,,,10,0.99,40.7,4.1,,,,45979,45979
50% Off Nov '25 (Catalogue Carousel),2025-11-19,"Ethical Consumerism Audience, UK","Basic Ad, 24 roll static image",,,ad,28,31,1.11,,,,1.27,,,,1,1.27,40.97,3.23,,,,45980,45980
50% Off Nov '25 (Catalogue Carousel),2025-11-19,"Carrousel, Lookalike Audiences",All Products - Sales,,,ad,51,55,1.08,,,,2.74,,,,3,0.91,49.82,5.45,,,,45980,45980
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-11-19,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,300,357,1.19,,,,7.53,,,,13,0.58,21.09,3.64,,,,45980,45980
"Post: ""Black Friday can be chaotic — but choosing better...""",2025-11-19,"Post: ""Black Friday can be chaotic — but choosing better...""","IG Reel: ""Black Friday""",,,ad,114,124,1.09,,,,4.06,,,,0,0,32.74,0,,,,45980,45980
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-11-20,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,99,140,1.41,,,,4.08,,,,5,0.82,29.14,3.57,,,,45981,45981
"Post: ""Black Friday can be chaotic — but choosing better...""",2025-11-20,"Post: ""Black Friday can be chaotic — but choosing better...""","IG Reel: ""Black Friday""",,,ad,60,80,1.33,,,,4.19,,,,0,0,52.38,0,,,,45981,45981
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-11-21,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,451,631,1.4,,,,11.56,,,,14,0.83,18.32,2.22,,,,45982,45982
"Post: ""Black Friday can be chaotic — but choosing better...""",2025-11-21,"Post: ""Black Friday can be chaotic — but choosing better...""","IG Reel: ""Black Friday""",,,ad,97,124,1.28,,,,5.61,,,,7,0.8,45.24,5.65,,,,45982,45982
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-11-22,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,692,854,1.23,,Website purchases,3,12.96,4.32,,,9,1.44,15.18,1.05,Website purchases conversion value,4.63,4.63,45983,45983
"Post: ""Black Friday can be chaotic — but choosing better...""",2025-11-22,"Post: ""Black Friday can be chaotic — but choosing better...""","IG Reel: ""Black Friday""",,,ad,73,92,1.26,,,,2.93,,,,2,1.47,31.85,2.17,,,,45983,45983
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-11-23,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,593,818,1.38,,Website purchases,1,16.36,16.36,,,18,0.91,20,2.2,Website purchases conversion value,0.61,0.61,45984,45984
"Post: ""Black Friday can be chaotic — but choosing better...""",2025-11-23,"Post: ""Black Friday can be chaotic — but choosing better...""","IG Reel: ""Black Friday""",,,ad,115,133,1.16,,,,7.74,,,,3,2.58,58.2,2.26,,,,45984,45984
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-11-24,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,798,1027,1.29,,,,22.06,,,,14,1.58,21.48,1.36,,,,45985,45985
"Post: ""Black Friday can be chaotic — but choosing better...""",2025-11-24,"Post: ""Black Friday can be chaotic — but choosing better...""","IG Reel: ""Black Friday""",,,ad,71,82,1.15,,,,5.1,,,,3,1.7,62.2,3.66,,,,45985,45985
"UGC, Black Friday LPs, 2x Audiences,",2025-11-24,"Link Clicks, Black Friday LPs, 24 rolls",Max Taylor (24 rolls),,,ad,17,18,1.06,,,,0,,,,0,0,0,0,,,,45985,45985
"UGC, Black Friday LPs, 2x Audiences,",2025-11-24,"Link Clicks, Black Friday LPs, 24 rolls",Dani D'Silvez (24 rolls),,,ad,58,59,1.02,,,,0,,,,0,0,0,0,,,,45985,45985
"UGC, Black Friday LPs, 2x Audiences,",2025-11-24,"Link Clicks, Black Friday LPs, 24 rolls",Russel Peace Indoors (24 rolls),,,ad,239,242,1.01,,,,3.71,,,,38,0.1,15.33,15.7,,,,45985,45985
"UGC, Black Friday LPs, 2x Audiences,",2025-11-24,"Link Clicks, Black Friday LPs, 24 rolls",Russell Peace Outdoors (24 rolls),,,ad,31,32,1.03,,,,0.15,,,,3,0.05,4.69,9.38,,,,45985,45985
"UGC, Black Friday LPs, 2x Audiences,",2025-11-24,"Link Clicks, Black Friday LPs, 24 rolls",Danny Jennings (24 rolls),,,ad,1,1,1,,,,0,,,,0,0,0,0,,,,45985,45985
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-11-25,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,295,358,1.21,,,,8.59,,,,3,2.86,23.99,0.84,,,,45986,45986
"Post: ""Black Friday can be chaotic — but choosing better...""",2025-11-25,"Post: ""Black Friday can be chaotic — but choosing better...""","IG Reel: ""Black Friday""",,,ad,53,62,1.17,,,,2.9,,,,3,0.97,46.77,4.84,,,,45986,45986
"UGC, Black Friday LPs, 2x Audiences,",2025-11-25,"Link Clicks, Black Friday LPs, 24 rolls",Dani D'Silvez (24 rolls),,,ad,1,1,1,,,,0,,,,0,0,0,0,,,,45986,45986
"UGC, Black Friday LPs, 2x Audiences,",2025-11-25,"Link Clicks, Black Friday LPs, 24 rolls",Russel Peace Indoors (24 rolls),,,ad,229,233,1.02,,,,2.21,,,,32,0.07,9.48,13.73,,,,45986,45986
"UGC, Black Friday LPs, 2x Audiences,",2025-11-25,"Link Clicks, Black Friday LPs, 24 rolls",Russell Peace Outdoors (24 rolls),,,ad,38,39,1.03,,,,0.28,,,,4,0.07,7.18,10.26,,,,45986,45986
"UGC, Black Friday LPs, 2x Audiences,",2025-11-25,"Link Clicks, Black Friday LPs, 24 rolls",Danny Jennings (24 rolls),,,ad,6,6,1,,,,0,,,,0,0,0,0,,,,45986,45986
"UGC, Black Friday LPs, 2x Audiences,",2025-11-25,"Website Conversions, Black Friday LPs, 24 rolls",Russell Peace Outdoors (24 rolls),,,ad,3,3,1,,,,0.02,,,,1,0.02,6.67,33.33,,,,45986,45986
"UGC, Black Friday LPs, 2x Audiences,",2025-11-25,"Website Conversions, Black Friday LPs, 24 rolls",Russel Peace Indoors (24 rolls),,,ad,2,2,1,,,,0.13,,,,0,0,65,0,,,,45986,45986
"2x Custom Audiences, UGC, 48 rolls",2025-11-25,"Link Clicks, Black Friday LPs",Max Taylor (24 rolls),,,ad,201,202,1,,,,1.88,,,,15,0.13,9.31,7.43,,,,45986,45986
"UGC, Black Friday LPs, 2x Audiences,",2025-11-25,"Website Conversions, Black Friday LPs, 48 rolls",Dani D'Silvez (48 rolls),,,ad,4,4,1,,,,0.04,,,,0,0,10,0,,,,45986,45986
"UGC, Black Friday LPs, 2x Audiences,",2025-11-25,"Website Conversions, Black Friday LPs, 48 rolls",Russel Peace Indoors (48 rolls),,,ad,3,3,1,,,,0.04,,,,0,0,13.33,0,,,,45986,45986
"UGC, Black Friday LPs, 2x Audiences,",2025-11-25,"Website Conversions, Black Friday LPs, 48 rolls",Russell Peace Outdoors (48 rolls),,,ad,18,20,1.11,,,,0.89,,,,0,0,44.5,0,,,,45986,45986
"UGC, Black Friday LPs, 2x Audiences,",2025-11-25,"Website Conversions, Black Friday LPs, 48 rolls",Danny Jennings (48 rolls),,,ad,3,4,1.33,,,,0.09,,,,0,0,22.5,0,,,,45986,45986
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-11-26,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,173,209,1.21,,Website purchases,1,4.84,4.84,,,1,4.84,23.16,0.48,,,,45987,45987
"Post: ""Black Friday can be chaotic — but choosing better...""",2025-11-26,"Post: ""Black Friday can be chaotic — but choosing better...""","IG Reel: ""Black Friday""",,,ad,35,37,1.06,,,,2.02,,,,3,0.67,54.59,8.11,,,,45987,45987
"UGC, Black Friday LPs, 2x Audiences,",2025-11-26,"Website Conversions, Black Friday LPs, 24 rolls",Russell Peace Outdoors (24 rolls),,,ad,2,2,1,,,,0,,,,0,0,0,0,,,,45987,45987
"UGC, Black Friday LPs, 2x Audiences,",2025-11-26,"Website Conversions, Black Friday LPs, 24 rolls",Russel Peace Indoors (24 rolls),,,ad,12,12,1,,,,0.44,,,,1,0.44,36.67,8.33,,,,45987,45987
"UGC, Black Friday LPs, 2x Audiences,",2025-11-26,"Website Conversions, Black Friday LPs, 24 rolls",Dani D'Silvez (24 rolls),,,ad,1,1,1,,,,0,,,,0,0,0,0,,,,45987,45987
"UGC, Black Friday LPs, 2x Audiences,",2025-11-26,"Website Conversions, Black Friday LPs, 48 rolls",Max Taylor (48 rolls),,,ad,19,19,1,,,,1.82,,,,1,1.82,95.79,5.26,,,,45987,45987
"UGC, Black Friday LPs, 2x Audiences,",2025-11-26,"Website Conversions, Black Friday LPs, 48 rolls",Russel Peace Indoors (48 rolls),,,ad,16,16,1,,,,0.57,,,,1,0.57,35.63,6.25,,,,45987,45987
"UGC, Black Friday LPs, 2x Audiences,",2025-11-26,"Website Conversions, Black Friday LPs, 48 rolls",Russell Peace Outdoors (48 rolls),,,ad,43,46,1.07,,,,2.33,,,,0,0,50.65,0,,,,45987,45987
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-11-27,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,156,202,1.29,,,,6.09,,,,10,0.61,30.15,4.95,,,,45988,45988
"UGC, Black Friday LPs, 2x Audiences,",2025-11-27,"Website Conversions, Black Friday LPs, 24 rolls",Russel Peace Indoors (24 rolls),,,ad,27,29,1.07,,,,1.81,,,,1,1.81,62.41,3.45,,,,45988,45988
"UGC, Black Friday LPs, 2x Audiences,",2025-11-27,"Website Conversions, Black Friday LPs, 48 rolls",Max Taylor (48 rolls),,,ad,17,17,1,,,,1.09,,,,1,1.09,64.12,5.88,,,,45988,45988
"UGC, Black Friday LPs, 2x Audiences,",2025-11-27,"Website Conversions, Black Friday LPs, 48 rolls",Dani D'Silvez (48 rolls),,,ad,2,2,1,,,,0.05,,,,0,0,25,0,,,,45988,45988
"UGC, Black Friday LPs, 2x Audiences,",2025-11-27,"Website Conversions, Black Friday LPs, 48 rolls",Russel Peace Indoors (48 rolls),,,ad,1,1,1,,,,0.04,,,,0,0,40,0,,,,45988,45988
"UGC, Black Friday LPs, 2x Audiences,",2025-11-27,"Website Conversions, Black Friday LPs, 48 rolls",Russell Peace Outdoors (48 rolls),,,ad,25,28,1.12,,,,1.57,,,,1,1.57,56.07,3.57,,,,45988,45988
"Original 50% Off, Broad Targeting",2025-11-27,"Website Conversions, 50% Offer, 24 rolls","Basic Ad, 24 roll, Static image, Orange LP",50% Original,,ad,170,193,1.14,,Website purchases,1,5.48,5.48,,,7,0.78,28.39,3.63,Website purchases conversion value,5.47,5.47,45988,45988
"Original 50% Off, Broad Targeting",2025-11-27,"Website Conversions, 50% Offer, 24 rolls","Basic Ad, 24 roll, Static image, Orange",50% Original,,ad,25,27,1.08,,,,0.59,,,,1,0.59,21.85,3.7,,,,45988,45988
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-27,"Website Conversions, Black Friday LPs, 48 rolls",Russell Peace Outdoors (48 rolls),,,ad,426,453,1.06,,,,2.56,,,,27,0.09,5.65,5.96,,,,45988,45988
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-11-28,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,227,300,1.32,,Website purchases,1,5.94,5.94,,,4,1.49,19.8,1.33,,,,45989,45989
"UGC, Black Friday LPs, 2x Audiences,",2025-11-28,"Website Conversions, Black Friday LPs, 24 rolls",Russel Peace Indoors (24 rolls),,,ad,54,58,1.07,,,,2.53,,,,2,1.26,43.62,3.45,,,,45989,45989
"UGC, Black Friday LPs, 2x Audiences,",2025-11-28,"Website Conversions, Black Friday LPs, 48 rolls",Max Taylor (48 rolls),,,ad,6,6,1,,,,0.48,,,,0,0,80,0,,,,45989,45989
"UGC, Black Friday LPs, 2x Audiences,",2025-11-28,"Website Conversions, Black Friday LPs, 48 rolls",Russell Peace Outdoors (48 rolls),,,ad,54,62,1.15,,,,2.99,,,,3,1,48.23,4.84,,,,45989,45989
"UGC, Black Friday LPs, 2x Audiences,",2025-11-28,"Website Conversions, Black Friday LPs, 48 rolls",Danny Jennings (48 rolls),,,ad,1,1,1,,,,0.09,,,,0,0,90,0,,,,45989,45989
"Original 50% Off, Broad Targeting",2025-11-28,"Website Conversions, 50% Offer, 24 rolls","Basic Ad, 24 roll, Static image, Orange LP",50% Original,,ad,145,189,1.3,,Website purchases,1,7.88,7.88,,,4,1.97,41.69,2.12,Website purchases conversion value,1.27,1.27,45989,45989
"Original 50% Off, Broad Targeting",2025-11-28,"Website Conversions, 50% Offer, 24 rolls","Basic Ad, 24 roll, Static image, Orange",50% Original,,ad,34,39,1.15,,,,1.32,,,,0,0,33.85,0,,,,45989,45989
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-28,"Website Conversions, Black Friday LPs, 48 rolls",Russell Peace Outdoors (48 rolls),,,ad,1138,1167,1.03,,,,4.02,,,,39,0.1,3.44,3.34,,,,45989,45989
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-11-29,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,120,147,1.23,,Website purchases,1,2.82,2.82,,,1,2.82,19.18,0.68,Website purchases conversion value,3.54,3.54,45990,45990
"UGC, Black Friday LPs, 2x Audiences,",2025-11-29,"Website Conversions, Black Friday LPs, 24 rolls",Russel Peace Indoors (24 rolls),,,ad,27,27,1,,,,1.87,,,,1,1.87,69.26,3.7,,,,45990,45990
"UGC, Black Friday LPs, 2x Audiences,",2025-11-29,"Website Conversions, Black Friday LPs, 48 rolls",Russell Peace Outdoors (48 rolls),,,ad,25,26,1.04,,,,0.74,,,,0,0,28.46,0,,,,45990,45990
"Original 50% Off, Broad Targeting",2025-11-29,"Website Conversions, 50% Offer, 48 rolls","Basic Ad, 48 roll, Static image, Orange",50% Original,,ad,14,15,1.07,,,,0.37,,,,0,0,24.67,0,,,,45990,45990
"Original 50% Off, Broad Targeting",2025-11-29,"Website Conversions, 50% Offer, 48 rolls","Basic Ad, 48 roll, Static image, Orange LP",50% Original,,ad,34,36,1.06,,,,0.74,,,,1,0.74,20.56,2.78,,,,45990,45990
"Original 50% Off, Broad Targeting",2025-11-29,"Website Conversions, 50% Offer, 24 rolls","Basic Ad, 24 roll, Static image, Orange LP",50% Original,,ad,177,203,1.15,,,,7.36,,,,6,1.23,36.26,2.96,,,,45990,45990
"Original 50% Off, Broad Targeting",2025-11-29,"Website Conversions, 50% Offer, 24 rolls","Basic Ad, 24 roll, Static image, Orange",50% Original,,ad,5,6,1.2,,,,0.11,,,,0,0,18.33,0,,,,45990,45990
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-29,"Website Conversions, Black Friday LPs, 48 rolls",Russel Peace Indoors (48 rolls),,,ad,4,4,1,,,,0,,,,0,0,0,0,,,,45990,45990
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-29,"Website Conversions, Black Friday LPs, 48 rolls",Danny Jennings (48 rolls),,,ad,3,3,1,,,,0,,,,0,0,0,0,,,,45990,45990
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-29,"Website Conversions, Black Friday LPs, 48 rolls",Max Taylor (48 rolls),,,ad,4,4,1,,,,0,,,,0,0,0,0,,,,45990,45990
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-29,"Website Conversions, Black Friday LPs, 48 rolls",Dani D'Silvez (48 rolls),,,ad,3,3,1,,,,0.06,,,,0,0,20,0,,,,45990,45990
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-29,"Website Conversions, Black Friday LPs, 48 rolls",Russell Peace Outdoors (48 rolls),,,ad,466,466,1,,,,2.31,,,,15,0.15,4.96,3.22,,,,45990,45990
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-29,"Website Conversions, Black Friday LPs, 24 rolls",Russell Peace Outdoors (24 rolls),,,ad,74,74,1,,,,0.07,,,,1,0.07,0.95,1.35,,,,45990,45990
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-29,"Website Conversions, Black Friday LPs, 24 rolls",Russel Peace Indoors (24 rolls),,,ad,1290,1299,1.01,,,,1.87,,,,19,0.1,1.44,1.46,,,,45990,45990
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-29,"Website Conversions, Black Friday LPs, 24 rolls",Danny Jennings (24 rolls),,,ad,131,131,1,,,,0.09,,,,3,0.03,0.69,2.29,,,,45990,45990
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-29,"Website Conversions, Black Friday LPs, 24 rolls",Dani D'Silvez (24 rolls),,,ad,7,7,1,,,,0,,,,0,0,0,0,,,,2025-11-29,2025-11-29
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-11-30,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,129,156,1.21,,,,7.14,,,,4,1.79,45.77,2.56,,,,2025-11-30,2025-11-30
"Post: ""Black Friday can be chaotic — but choosing better...""",2025-11-30,"Post: ""Black Friday can be chaotic — but choosing better...""","IG Reel: ""Black Friday""",,,ad,0,0,0,,,,0,,,,0,0,0,0,,,,2025-11-30,2025-11-30
"Original 50% Off, Broad Targeting",2025-11-30,"Website Conversions, 50% Offer, 48 rolls","Basic Ad, 48 roll, Static image, Orange",50% Original,,ad,6,6,1,,,,0.31,,,,0,0,51.67,0,,,,2025-11-30,2025-11-30
"Original 50% Off, Broad Targeting",2025-11-30,"Website Conversions, 50% Offer, 48 rolls","Basic Ad, 48 roll, Static image, Orange LP",50% Original,,ad,147,173,1.18,,Website purchases,1,6.59,6.59,,,12,0.55,38.09,6.94,Website purchases conversion value,1.52,1.52,2025-11-30,2025-11-30
"Original 50% Off, Broad Targeting",2025-11-30,"Website Conversions, 50% Offer, 24 rolls","Basic Ad, 24 roll, Static image, Orange LP",50% Original,,ad,204,222,1.09,,Website purchases,1,6.85,6.85,,,10,0.69,30.86,4.5,Website purchases conversion value,2.92,2.92,2025-11-30,2025-11-30
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-30,"Website Conversions, Black Friday LPs, 48 rolls",Russell Peace Outdoors (48 rolls),,,ad,428,441,1.03,,,,1,,,,9,0.11,2.27,2.04,,,,2025-11-30,2025-11-30
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-30,"Website Conversions, Black Friday LPs, 24 rolls",Russel Peace Indoors (24 rolls),,,ad,1043,1093,1.05,,,,5.06,,,,81,0.06,4.63,7.41,,,,2025-11-30,2025-11-30
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-30,"Website Conversions, Black Friday LPs, 24 rolls",Danny Jennings (24 rolls),,,ad,54,54,1,,,,0.14,,,,0,0,2.59,0,,,,2025-11-30,2025-11-30
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-11-30,"Website Conversions, Black Friday LPs, 24 rolls",Max Taylor (24 rolls),,,ad,20,20,1,,,,0.02,,,,0,0,1,0,,,,2025-11-30,2025-11-30
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-12-01,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,146,190,1.3,,,,4.42,,,,0,0,23.26,0,,,,2025-12-01,2025-12-01
"Original 50% Off, Broad Targeting",2025-12-01,"Website Conversions, 50% Offer, 48 rolls","Basic Ad, 48 roll, Static image, Orange",50% Original,,ad,3,3,1,,,,0.06,,,,0,0,20,0,,,,2025-12-01,2025-12-01
"Original 50% Off, Broad Targeting",2025-12-01,"Website Conversions, 50% Offer, 48 rolls","Basic Ad, 48 roll, Static image, Orange LP",50% Original,,ad,196,241,1.23,,,,7.34,,,,9,0.82,30.46,3.73,,,,2025-12-01,2025-12-01
"Original 50% Off, Broad Targeting",2025-12-01,"Website Conversions, 50% Offer, 24 rolls","Basic Ad, 24 roll, Static image, Orange LP",50% Original,,ad,111,130,1.17,,,,3.52,,,,3,1.17,27.08,2.31,,,,2025-12-01,2025-12-01
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-12-01,"Website Conversions, Black Friday LPs, 48 rolls",Russell Peace Outdoors (48 rolls),,,ad,1,1,1,,,,0,,,,0,0,0,0,,,,2025-12-01,2025-12-01
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-12-01,"Website Conversions, Black Friday LPs, 24 rolls",Russell Peace Outdoors (24 rolls),,,ad,2,2,1,,,,0,,,,0,0,0,0,,,,2025-12-01,2025-12-01
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-12-01,"Website Conversions, Black Friday LPs, 24 rolls",Russel Peace Indoors (24 rolls),,,ad,676,712,1.05,,,,3.64,,,,71,0.05,5.11,9.97,,,,2025-12-01,2025-12-01
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-12-01,"Website Conversions, Black Friday LPs, 24 rolls",Dani D'Silvez (24 rolls),,,ad,2,2,1,,,,0.01,,,,1,0.01,5,50,,,,2025-12-01,2025-12-01
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-12-01,"Website Conversions, Black Friday LPs, 24 rolls",Max Taylor (24 rolls),,,ad,3,3,1,,,,0.05,,,,0,0,16.67,0,,,,2025-12-01,2025-12-01
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-12-02,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,159,186,1.17,,,,4.62,,,,6,0.77,24.84,3.23,,,,2025-12-02,2025-12-02
"Original 50% Off, Broad Targeting",2025-12-02,"Website Conversions, 50% Offer, 48 rolls","Basic Ad, 48 roll, Static image, Orange LP",50% Original,,ad,85,89,1.05,,,,3,,,,2,1.5,33.71,2.25,,,,2025-12-02,2025-12-02
"Original 50% Off, Broad Targeting",2025-12-02,"Website Conversions, 50% Offer, 24 rolls","Basic Ad, 24 roll, Static image, Orange LP",50% Original,,ad,138,166,1.2,,,,5.37,,,,5,1.07,32.35,3.01,,,,2025-12-02,2025-12-02
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-12-02,"Website Conversions, Black Friday LPs, 48 rolls",Russel Peace Indoors (48 rolls),,,ad,171,174,1.02,,,,1.19,,,,9,0.13,6.84,5.17,,,,2025-12-02,2025-12-02
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-12-02,"Website Conversions, Black Friday LPs, 48 rolls",Max Taylor (48 rolls),,,ad,16,16,1,,,,0.06,,,,0,0,3.75,0,,,,2025-12-02,2025-12-02
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-12-02,"Website Conversions, Black Friday LPs, 24 rolls",Danny Jennings (24 rolls),,,ad,837,1000,1.19,,,,4.32,,,,37,0.12,4.32,3.7,,,,2025-12-02,2025-12-02
"Orange Static Ads, 50% Off, Broad Targeting",2025-12-02,"Website Conversions, 50% Offer, 24 rolls","Basic Ad, 24 roll, Static image, Orange",orange_static,,ad,43,43,1,,,,0.93,,,,1,0.93,21.63,2.33,,,,2025-12-02,2025-12-02
"Orange Static Ads, 50% Off, Broad Targeting",2025-12-02,"Website Conversions, 50% Offer, 48 rolls","Basic Ad, 48 roll, Static image, Orange",orange_static,,ad,48,48,1,,,,0.89,,,,0,0,18.54,0,,,,2025-12-02,2025-12-02
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-12-03,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,181,253,1.4,,,,5.1,,,,2,2.55,20.16,0.79,,,,2025-12-03,2025-12-03
"Original 50% Off, Broad Targeting",2025-12-03,"Website Conversions, 50% Offer, 48 rolls","Basic Ad, 48 roll, Static image, Orange LP",50% Original,,ad,90,101,1.12,,,,3.4,,,,3,1.13,33.66,2.97,,,,2025-12-03,2025-12-03
"Original 50% Off, Broad Targeting",2025-12-03,"Website Conversions, 50% Offer, 24 rolls","Basic Ad, 24 roll, Static image, Orange LP",50% Original,,ad,45,46,1.02,,,,2.15,,,,1,2.15,46.74,2.17,,,,2025-12-03,2025-12-03
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-12-03,"Website Conversions, Black Friday LPs, 48 rolls",Russel Peace Indoors (48 rolls),,,ad,61,61,1,,,,0.36,,,,7,0.05,5.9,11.48,,,,2025-12-03,2025-12-03
"UGC, Black Friday LPs, 2x Audiences, Traffic",2025-12-03,"Website Conversions, Black Friday LPs, 24 rolls",Danny Jennings (24 rolls),,,ad,1328,1394,1.05,,,,5.92,,,,34,0.17,4.25,2.44,,,,2025-12-03,2025-12-03
"Orange Static Ads, 50% Off, Broad Targeting",2025-12-03,"Website Conversions, 50% Offer, 24 rolls","Basic Ad, 24 roll, Static image, Orange",orange_static,,ad,64,73,1.14,,,,3.64,,,,2,1.82,49.86,2.74,,,,2025-12-03,2025-12-03
"Orange Static Ads, 50% Off, Broad Targeting",2025-12-03,"Website Conversions, 50% Offer, 48 rolls","Basic Ad, 48 roll, Static image, Orange",orange_static,,ad,83,93,1.12,,,,3.61,,,,3,1.2,38.82,3.23,,,,2025-12-03,2025-12-03
"Black Static Ads, Free Rolls, Broad Targeting",2025-12-03,"Website Conversions, 50% Offer, 48 rolls","12 Free, 48 roll, Static image, Black",black_static,,ad,132,143,1.08,,,,4.17,,,,3,1.39,29.16,2.1,,,,2025-12-03,2025-12-03
"Carousel, Orange Hero, 50% Off, 3x Audiences",2025-12-04,"Maximise Conversions, Mobile","Carousel, Auto, Single Image",orange_carousel,,ad,198,246,1.24,,,,4.41,,,,5,0.88,17.93,2.03,,,,2025-12-04,2025-12-04
"Original 50% Off, Broad Targeting",2025-12-04,"Website Conversions, 50% Offer, 48 rolls","Basic Ad, 48 roll, Static image, Orange LP",50% Original,,ad,64,71,1.11,,Website purchases,1,2.9,2.9,,,4,0.73,40.85,5.63,Website purchases conversion value,7.58,7.58,2025-12-04,2025-12-04
"Original 50% Off, Broad Targeting",2025-12-04,"Website Conversions, 50% Offer, 24 rolls","Basic Ad, 24 roll, Static image, Orange LP",50% Original,,ad,91,111,1.22,,Website purchases,2,3.93,1.97,,,11,0.36,35.41,9.91,Website purchases conversion value,7.63,7.63,2025-12-04,2025-12-04
